student_id,student_name,age,gender,country,university,program_level,field_of_study,year_of_study,tuition_usd,scholarship,online_classes,campus_facilities_rating,teaching_quality_rating,overall_satisfaction
223,Mr. Frank Krueger,24,Male,India,Scott LLC University,Master,Social Sciences,5,42079,Yes,Yes,5,2,Neutral
224,Kristen Coleman,19,Male,China,Mills-Mendoza University,Bachelor,Arts,2,28880,Yes,Yes,1,3,Very Satisfied
225,Victoria Harris,28,Other,Pakistan,Adams Inc University,PhD,Business,1,43030,Yes,No,1,2,Satisfied
226,Tricia Mclaughlin,35,Female,Pakistan,Obrien PLC University,PhD,Law,2,31544,Yes,Yes,3,5,Very Dissatisfied
227,Sarah Moore,27,Male,Malaysia,"King, Rios and Michael University",PhD,Social Sciences,5,8302,No,Yes,3,2,Dissatisfied
228,Rodney Hill,20,Other,Australia,Taylor Group University,Master,Engineering,3,35734,Yes,No,1,2,Satisfied
229,Maria Hall,26,Female,Pakistan,Best-Bailey University,Bachelor,Data Science,2,11602,Yes,Yes,4,1,Dissatisfied
230,Jennifer Ellis,31,Female,Malaysia,Murphy Inc University,Bachelor,Medicine,2,27393,No,No,4,4,Dissatisfied
231,Michelle Pruitt,30,Male,Japan,"Owen, Hayes and Jackson University",Master,Data Science,3,48582,Yes,No,1,2,Very Dissatisfied
232,Christina Pham,23,Male,USA,"Robinson, Weaver and Moore University",PhD,Engineering,1,42332,Yes,No,4,5,Dissatisfied
233,Richard Kelly,26,Male,China,Wright-Hunt University,PhD,Physics,2,3528,No,Yes,2,4,Satisfied
234,Austin Martin,18,Male,Pakistan,"King, Ortega and Bryan University",Bachelor,Computer Science,5,37302,Yes,Yes,2,4,Satisfied
235,Adam Richards,22,Other,India,Burns-Martin University,Bachelor,Medicine,1,7287,No,No,2,4,Very Satisfied
236,Tamara Holland,25,Female,France,Wall Ltd University,PhD,Physics,4,38398,Yes,No,4,2,Dissatisfied
237,Lisa Garner,23,Female,France,"Robertson, Nichols and Black University",Master,Engineering,2,43270,Yes,Yes,4,1,Dissatisfied
238,John Dunlap,28,Male,Canada,"Le, Ferguson and Miller University",Bachelor,Medicine,1,43712,No,Yes,1,4,Dissatisfied
239,Deborah Fields,33,Female,Germany,Stephens PLC University,PhD,Social Sciences,4,17139,No,Yes,3,1,Very Dissatisfied
240,Lisa Simmons,31,Female,UAE,Patterson PLC University,Bachelor,Business,1,31584,Yes,Yes,1,3,Dissatisfied
241,Stacey Brown,29,Female,India,Evans Group University,Bachelor,Data Science,2,25701,No,Yes,3,1,Satisfied
242,Kenneth Mendoza,31,Female,Japan,Shelton-Garcia University,PhD,Engineering,5,4189,Yes,No,1,2,Neutral
243,Cheryl Hunt,26,Other,UK,Soto-Larsen University,PhD,Arts,5,23786,Yes,Yes,4,3,Very Dissatisfied
244,Brian Morales,28,Male,Germany,"Harris, Russo and Jacobs University",PhD,Medicine,2,34371,No,No,3,5,Neutral
245,Michael Oconnell,20,Male,Netherlands,Simpson PLC University,PhD,Engineering,4,21804,Yes,No,4,5,Neutral
246,Marcia Weber,25,Male,UK,Stephenson-Casey University,Bachelor,Physics,4,46060,No,Yes,5,1,Dissatisfied
247,Robert Hooper,23,Male,Japan,Delgado-Ruiz University,Master,Arts,2,7917,Yes,Yes,2,2,Dissatisfied
248,Craig Cooke,34,Male,France,"Taylor, Perry and Moses University",Bachelor,Business,4,41885,Yes,No,5,2,Very Dissatisfied
249,Luis Campos,26,Other,UAE,"Luna, Nguyen and Smith University",Bachelor,Medicine,4,23255,Yes,No,1,4,Satisfied
250,Miss Rachel Collins DDS,35,Other,UAE,Parker-Collier University,Bachelor,Data Science,4,40739,No,Yes,1,3,Dissatisfied
251,Jodi Little,30,Male,China,Tran and Sons University,Bachelor,Law,3,37956,Yes,No,5,4,Very Satisfied
252,Kelly Rodgers,18,Other,Turkey,"Johnson, Walsh and Smith University",PhD,Engineering,4,49619,No,Yes,2,5,Satisfied
253,Donald Rodriguez,28,Other,Australia,Mack and Sons University,Bachelor,AI,3,32198,No,Yes,1,1,Very Satisfied
254,Scott Ayers,28,Male,Malaysia,Robbins PLC University,PhD,Engineering,2,32360,Yes,No,5,1,Very Satisfied
255,Carrie Lowe,19,Other,India,Drake-Hooper University,Master,Data Science,1,12164,Yes,Yes,1,5,Neutral
256,Melissa Robinson,30,Other,UK,White-Padilla University,Master,Data Science,1,45683,Yes,Yes,4,3,Dissatisfied
257,Stephanie Harris,35,Male,Turkey,Robertson-Jenkins University,PhD,Computer Science,1,18656,Yes,Yes,5,5,Very Satisfied
258,Alexandria Obrien,21,Female,UAE,"Hamilton, Smith and Sims University",PhD,Engineering,2,9958,No,Yes,1,1,Satisfied
259,Daniel Jones,30,Other,France,Nelson-Hamilton University,Bachelor,AI,4,21609,Yes,Yes,2,3,Very Dissatisfied
260,Lauren Hall,27,Male,UAE,"Henderson, Bailey and Wright University",Master,Business,5,23495,Yes,No,1,2,Dissatisfied
261,Brandy Martinez,20,Male,France,Hanson Group University,Bachelor,Arts,4,9083,No,No,5,4,Neutral
262,Michael Weaver,22,Male,Malaysia,"Tran, Wyatt and Marks University",Master,AI,1,21806,No,No,1,5,Satisfied
263,Hannah Ford,30,Female,Netherlands,Pham Inc University,PhD,Medicine,4,8708,No,No,1,1,Neutral
264,Gregory Brown,27,Female,Turkey,"Thompson, Rodriguez and Bryan University",Master,Physics,2,32574,No,Yes,4,5,Neutral
265,Erica Hudson,21,Female,Australia,Flores and Sons University,PhD,Arts,3,41568,Yes,Yes,2,3,Neutral
266,Steven Robinson,30,Male,Netherlands,Roberts Group University,Bachelor,Medicine,4,27445,Yes,No,5,4,Very Dissatisfied
267,Gina Smith,18,Other,Canada,Brown Inc University,Master,Arts,3,39178,No,Yes,5,3,Neutral
268,Robert Riley,31,Other,UAE,Mcintyre-Gonzales University,Bachelor,Data Science,3,43420,No,No,5,5,Very Satisfied
269,William Shaw,24,Other,China,Shelton-Landry University,Bachelor,Social Sciences,1,3293,Yes,No,5,1,Very Dissatisfied
270,Charles Perkins,21,Other,USA,"Martin, Russell and Jordan University",Bachelor,Physics,2,2987,Yes,No,1,5,Satisfied
271,Calvin James,18,Other,Germany,Brown Ltd University,PhD,Medicine,2,15832,No,No,1,4,Very Dissatisfied
272,John Campos,34,Male,Germany,Johnson PLC University,Master,Business,5,9476,No,No,5,5,Dissatisfied
273,William Coleman,17,Male,UAE,"Clark, Lutz and Alvarado University",Master,Business,4,13499,No,No,2,2,Neutral
274,Lauren Burch,32,Other,India,"Soto, Stanley and Jensen University",Bachelor,Business,4,29940,No,Yes,5,2,Very Dissatisfied
275,Melissa Keller,21,Female,Japan,Grimes-Oliver University,Master,Law,4,12008,No,Yes,1,4,Dissatisfied
276,Dr. Megan Lyons,29,Male,Pakistan,Werner-Smith University,PhD,Engineering,3,42517,Yes,No,3,1,Very Satisfied
277,Elizabeth Thomas,26,Other,Netherlands,Chandler-Berry University,Master,Arts,3,7786,No,No,1,1,Neutral
278,Amber Thomas,24,Male,Turkey,"Brown, Martinez and Stanley University",PhD,Law,3,44490,Yes,No,1,4,Dissatisfied
279,Brett Sharp,30,Female,USA,Ramsey-Scott University,Master,Business,1,43623,Yes,Yes,2,3,Satisfied
280,Danielle Sanchez,28,Male,China,"Gutierrez, Zhang and Kim University",Master,Physics,3,21620,Yes,No,5,4,Dissatisfied
281,Elizabeth Alvarez,29,Other,Malaysia,Williams-Kelley University,Master,Data Science,5,31978,No,Yes,1,1,Dissatisfied
282,Susan Lee,29,Female,Australia,"Lynn, Hughes and Garcia University",Master,Physics,2,19987,Yes,Yes,4,4,Very Dissatisfied
283,Mark Stone,23,Other,Pakistan,Mckinney-Wallace University,Master,Arts,1,48315,No,No,5,3,Neutral
284,Juan Wilkinson,28,Male,UAE,Cook Inc University,Master,Physics,5,26061,No,Yes,3,4,Neutral
285,Russell Garcia,25,Other,Australia,Miles LLC University,Master,Medicine,5,42938,Yes,No,5,2,Dissatisfied
286,Carrie Thompson,24,Female,Canada,"Cantu, Mckinney and Maxwell University",PhD,Social Sciences,4,26171,Yes,Yes,4,4,Neutral
287,Jessica Wall,24,Female,UK,Harris and Sons University,Bachelor,AI,1,37965,No,No,3,2,Neutral
288,Robert Walker,20,Male,Netherlands,"Lamb, Cox and Bond University",Bachelor,AI,1,18614,No,No,2,4,Very Satisfied
289,Sydney Garcia,24,Female,France,Ferguson LLC University,Bachelor,Data Science,1,3665,Yes,Yes,4,4,Very Dissatisfied
290,Ronald Hood,24,Male,USA,Aguilar and Sons University,PhD,Business,4,41912,Yes,Yes,5,1,Neutral
291,Tanya Kirby,30,Other,Netherlands,Irwin-Campbell University,Bachelor,Medicine,2,36981,Yes,Yes,4,5,Very Dissatisfied
292,James Thompson,23,Other,UK,Hogan Group University,Master,AI,2,19731,Yes,No,3,2,Very Dissatisfied
293,Jonathan Moran,23,Other,Netherlands,"Campos, Barnes and Gonzalez University",Master,Computer Science,3,43999,Yes,No,5,2,Neutral
294,Connie Edwards,17,Male,India,Huff-Moss University,Master,Law,4,16428,Yes,No,5,2,Very Dissatisfied
295,Carla Carroll,25,Female,China,Melendez Group University,Master,Business,3,41008,Yes,No,2,3,Satisfied
296,Kayla Cox,34,Other,Australia,Gallagher PLC University,PhD,Business,3,29145,Yes,No,5,4,Satisfied
297,Eugene Zimmerman,30,Female,China,Navarro-Williams University,Bachelor,Computer Science,2,13520,No,Yes,5,5,Dissatisfied
298,Beth Powell,35,Female,USA,Morris-Anderson University,PhD,Physics,4,34542,No,Yes,2,1,Neutral
299,Ralph Francis,21,Other,Canada,"Huff, Roberts and Rivas University",PhD,Business,1,10976,No,No,2,5,Satisfied
300,William Hawkins,23,Other,France,Horton-Stevens University,Bachelor,Computer Science,2,47593,Yes,No,5,2,Very Satisfied
301,Andrew Garza,17,Female,UK,Zimmerman LLC University,Bachelor,Arts,4,33067,No,No,1,2,Very Dissatisfied
302,Gary Johnson,27,Female,Germany,"Stein, Martinez and Garcia University",PhD,AI,2,29012,No,No,4,1,Very Dissatisfied
303,Richard Gonzalez,35,Other,China,"Brown, Bruce and Carey University",Master,Medicine,1,16054,No,No,5,2,Neutral
304,Stephen Avila,35,Female,France,Cox-Russell University,Bachelor,Business,3,37537,Yes,No,1,4,Very Satisfied
305,Laura Reyes,23,Other,Germany,Jones-Harrington University,PhD,Law,2,28060,Yes,No,3,2,Dissatisfied
306,Robert Monroe,31,Male,USA,"Wilson, Blankenship and Romero University",Bachelor,Medicine,5,3615,Yes,Yes,2,3,Dissatisfied
307,Thomas Robinson,19,Other,Australia,Weeks LLC University,PhD,Engineering,5,18581,No,No,2,1,Very Dissatisfied
308,Sheila Sanchez,35,Other,Pakistan,Lindsey-Pacheco University,Bachelor,Engineering,4,49271,No,Yes,5,3,Very Satisfied
309,Debra Smith,22,Other,Netherlands,"Caldwell, Bishop and Stafford University",Bachelor,Physics,2,36410,Yes,No,3,4,Very Dissatisfied
310,Lauren Bailey,32,Female,India,Hughes-Reed University,Master,Computer Science,2,35148,No,No,5,4,Very Satisfied
311,Marc Boyd,19,Male,India,Guerrero PLC University,Master,AI,1,23941,No,No,5,4,Satisfied
312,Amber Lewis,20,Other,UAE,Trujillo LLC University,Bachelor,Medicine,1,36568,Yes,Yes,3,1,Neutral
313,Nicole Lewis,34,Female,USA,Reed PLC University,Master,Engineering,1,21880,Yes,Yes,3,3,Very Satisfied
314,Anthony Miller,17,Female,USA,"Smith, Morrison and Warren University",PhD,Business,4,10107,No,Yes,4,4,Very Satisfied
315,Jennifer Dorsey,28,Female,China,Martinez-Baker University,Master,Business,4,41171,Yes,Yes,5,5,Dissatisfied
316,Dylan Bishop,29,Other,Germany,"Sanchez, Tucker and Cox University",PhD,Business,2,43603,Yes,No,5,5,Dissatisfied
317,Robert Mclaughlin,32,Female,India,Morris PLC University,Master,Law,5,39756,Yes,No,2,3,Very Satisfied
318,Amanda Williams,33,Other,Canada,King Inc University,Master,Business,3,6071,No,No,1,1,Very Satisfied
319,Lindsey Thompson,27,Male,Canada,Vasquez Ltd University,Master,Data Science,5,27971,Yes,No,2,1,Very Satisfied
320,Jonathan Green,30,Female,Netherlands,"Hardin, Peters and Wilson University",Master,AI,3,23177,No,No,4,2,Satisfied
321,Taylor Curry,21,Male,France,Krause-Chavez University,PhD,Physics,1,49097,Yes,No,2,5,Satisfied
322,Tasha Clark,23,Male,France,Odonnell Ltd University,Master,AI,3,32252,No,No,5,3,Dissatisfied
323,Alyssa Davis,26,Other,Canada,Scott-Gallegos University,PhD,Computer Science,1,32340,Yes,No,5,1,Neutral
324,Donald Brown,34,Other,India,Zuniga-Young University,Bachelor,Physics,3,34348,No,Yes,1,2,Satisfied
325,Brian Mcgrath,35,Male,USA,Sullivan-Santos University,Bachelor,Physics,4,30391,No,Yes,1,1,Very Dissatisfied
326,Robin Turner,29,Male,France,Benjamin-Navarro University,PhD,Medicine,4,25878,Yes,No,4,4,Dissatisfied
327,Carmen Young,33,Other,France,Wheeler Ltd University,Master,Engineering,5,14982,No,No,5,2,Satisfied
328,Robert Banks,35,Male,India,Roth Group University,Bachelor,Computer Science,3,33544,Yes,No,4,1,Very Dissatisfied
329,Jennifer Anderson,33,Female,Netherlands,Lynch Inc University,PhD,Business,4,24534,Yes,Yes,3,1,Neutral
330,Christine Butler,33,Other,Germany,Pena PLC University,PhD,Social Sciences,1,6464,Yes,Yes,1,3,Very Satisfied
331,Anthony Clark,28,Male,UK,"Sanchez, Hansen and Fernandez University",PhD,Data Science,5,35828,Yes,Yes,5,1,Dissatisfied
332,Veronica Shaw,29,Female,India,Romero-White University,Bachelor,Arts,2,27357,Yes,No,1,2,Neutral
333,Lauren Wilson,17,Male,Pakistan,Malone-Cruz University,PhD,Engineering,4,28202,Yes,No,5,1,Very Dissatisfied
334,William Shaffer,19,Other,UK,"White, Munoz and Garcia University",PhD,Data Science,5,39639,No,No,4,5,Satisfied
335,Michele Bell,31,Female,Germany,Mcdaniel Inc University,PhD,Social Sciences,2,34461,No,Yes,4,1,Dissatisfied
336,Michael Lewis,25,Female,Netherlands,"Hunter, Winters and Spencer University",Master,Computer Science,2,8042,Yes,No,2,1,Very Dissatisfied
337,Ralph Perez,17,Male,India,"Walton, Orozco and Ferguson University",PhD,Computer Science,3,49575,Yes,No,2,2,Neutral
338,Randy Howard,23,Female,Netherlands,"Thomas, Clark and Webb University",Master,Data Science,1,47116,Yes,No,5,3,Very Satisfied
339,Kenneth Lin,28,Male,USA,Alexander and Sons University,Master,Medicine,4,7812,No,Yes,4,3,Satisfied
340,Michael Gibbs,34,Male,Pakistan,Hensley Group University,Bachelor,AI,3,44441,No,No,5,5,Very Satisfied
341,Patrick Jones,20,Female,India,Gallagher Group University,PhD,Law,3,23678,Yes,No,4,2,Dissatisfied
342,James Lee,23,Male,Canada,"Black, Farmer and Potter University",Master,AI,4,28558,Yes,No,3,3,Very Dissatisfied
343,Peter Butler,28,Male,Australia,Wolf PLC University,Master,Data Science,1,46278,No,Yes,2,5,Neutral
344,Victoria Silva,25,Male,France,Miller-Martinez University,Master,Computer Science,3,8584,Yes,No,4,5,Very Satisfied
345,Mitchell Osborne,25,Other,Germany,Farley PLC University,Master,Data Science,3,10351,Yes,No,2,1,Very Satisfied
346,Steven Good,17,Other,Netherlands,Taylor Ltd University,Bachelor,AI,2,4721,Yes,No,3,5,Very Dissatisfied
347,Christopher Parker,19,Other,France,Johnson-Allen University,Master,Physics,5,5952,No,Yes,5,4,Very Dissatisfied
348,Desiree Williams,35,Female,Japan,Fry-Henderson University,Bachelor,Medicine,2,26446,Yes,Yes,4,5,Dissatisfied
349,Justin Moore,31,Male,Canada,Leach-Mckee University,Bachelor,Physics,5,42122,Yes,No,2,3,Neutral
350,Alyssa Frazier,31,Female,Netherlands,"Garcia, Morton and Lewis University",Master,Data Science,4,48613,No,Yes,2,2,Very Satisfied
351,Michael Edwards,33,Female,China,"Lopez, Smith and Weaver University",Master,Social Sciences,4,16097,Yes,Yes,4,5,Dissatisfied
352,Jerry Jackson,28,Male,UAE,"Jackson, Lee and David University",Master,Business,5,19909,No,Yes,1,1,Satisfied
353,Robin Sutton,29,Female,Netherlands,"Bright, Burnett and Rodriguez University",Bachelor,Arts,2,47042,Yes,No,3,4,Satisfied
354,Larry Torres,30,Male,China,"Horton, Mitchell and Johnson University",PhD,Engineering,2,5033,No,Yes,1,4,Dissatisfied
355,Thomas Owens,23,Female,UAE,"Petersen, Dean and Morales University",Bachelor,Arts,4,48811,Yes,No,1,5,Very Dissatisfied
356,John Salinas,17,Male,USA,Cook-Mcgrath University,Master,Law,3,49240,No,Yes,5,1,Very Dissatisfied
357,Robert Morales,34,Female,Canada,Travis Ltd University,PhD,Medicine,4,15728,Yes,Yes,5,3,Very Dissatisfied
358,Jessica Spencer,17,Female,Pakistan,Brown LLC University,Master,Arts,3,16903,No,No,5,2,Very Dissatisfied
359,Elizabeth Thomas,32,Male,Australia,Ruiz Group University,Master,AI,3,42477,Yes,Yes,2,4,Very Satisfied
360,Rachel Lee,32,Female,Netherlands,Parker and Sons University,Master,Physics,2,47089,Yes,No,2,2,Very Dissatisfied
361,Christina Williams,18,Male,Canada,Allison Inc University,Master,Law,2,18107,Yes,Yes,3,1,Very Satisfied
362,Megan Carr,28,Male,Canada,Mccarty Ltd University,Master,Arts,1,49117,Yes,No,5,3,Satisfied
363,Cheyenne Robinson,23,Male,France,Brock-Hernandez University,PhD,Business,4,20845,No,Yes,2,2,Neutral
364,Sara Ball,17,Other,Netherlands,Gallegos-Yang University,Master,Computer Science,1,37390,No,Yes,2,5,Neutral
365,Dr. Zachary Davis,17,Male,Netherlands,Ramirez-Morton University,PhD,Social Sciences,4,28351,Yes,Yes,5,1,Satisfied
366,Robin Hall,23,Male,India,Miles-Taylor University,PhD,Computer Science,5,27318,No,No,2,2,Neutral
367,Robert Stone,32,Male,India,"Walker, Garcia and Smith University",Bachelor,Data Science,2,6768,No,No,1,4,Dissatisfied
368,Carl Carr,27,Other,Turkey,"Flores, Herrera and Phillips University",Master,Physics,4,16168,Yes,No,5,1,Satisfied
369,Ricky Reilly,17,Other,Netherlands,Baldwin-Owens University,Master,Computer Science,5,46883,Yes,No,5,2,Dissatisfied
370,Aaron Jenkins,21,Male,Australia,Clark Ltd University,Master,Data Science,1,28278,Yes,Yes,4,4,Dissatisfied
371,Walter Caldwell,25,Male,Pakistan,Porter-Holloway University,Master,Medicine,5,18901,No,No,3,1,Very Satisfied
372,Daniel Hatfield,18,Female,China,"Spencer, Sanchez and Jordan University",PhD,Medicine,3,27599,Yes,No,1,3,Dissatisfied
373,Donald Green,21,Other,Australia,Carter and Sons University,Bachelor,Engineering,4,17965,No,No,2,3,Satisfied
374,Holly Bruce,24,Male,Pakistan,King-Lopez University,Master,Engineering,1,30996,No,No,3,4,Satisfied
375,Sarah Moore,27,Female,Malaysia,"Swanson, Anderson and Becker University",PhD,Law,2,35154,No,Yes,1,3,Dissatisfied
376,Thomas Waters,34,Male,USA,Atkins-Parks University,PhD,Data Science,2,6699,No,Yes,4,2,Satisfied
377,Michael Steele,24,Male,France,Adams-Brown University,Bachelor,Physics,3,18595,No,No,3,5,Dissatisfied
378,Kimberly Coffey,22,Female,Malaysia,Williams Inc University,PhD,Computer Science,5,46232,No,No,2,3,Dissatisfied
379,Phillip Gordon,29,Male,India,"Thomas, Mcdaniel and Bryant University",Master,Data Science,5,4565,Yes,No,3,1,Very Satisfied
380,Peter Sherman,35,Male,Germany,Roberts-Wilkins University,Bachelor,Arts,3,11976,Yes,Yes,1,3,Very Satisfied
381,Jane Turner,23,Male,Turkey,"Miles, Steele and Brown University",Master,Medicine,4,39556,Yes,Yes,1,5,Very Satisfied
382,Roy Watts,23,Male,Malaysia,Underwood-Lopez University,Master,AI,4,21485,No,Yes,4,1,Very Dissatisfied
383,Brenda Escobar,29,Male,UAE,"Gonzalez, Kirk and Bell University",PhD,Law,4,31302,Yes,No,1,4,Dissatisfied
384,Stephanie Santos,24,Other,India,Robinson LLC University,Master,Arts,5,28155,No,No,2,1,Very Satisfied
385,Diana Padilla,20,Male,India,Rollins-Chen University,PhD,Engineering,4,10663,Yes,No,5,4,Satisfied
386,Brooke Larson,34,Other,Malaysia,"Taylor, Sanchez and White University",PhD,Social Sciences,5,39564,No,No,4,5,Satisfied
387,Robert Kelly,26,Male,UK,"Mitchell, Jones and Reed University",PhD,Social Sciences,1,4302,Yes,Yes,1,3,Very Satisfied
388,Jennifer Knight,35,Female,UK,"West, Barnes and Benton University",Bachelor,Engineering,1,33386,No,Yes,3,5,Dissatisfied
389,Brian Sanchez,26,Female,India,Sanchez-Harrison University,Bachelor,Computer Science,4,8918,Yes,Yes,1,4,Very Satisfied
390,Anna Vega,28,Female,Japan,Hanson Group University,PhD,Engineering,1,9166,No,Yes,4,4,Neutral
391,Jeffrey Reynolds,28,Male,USA,"Anderson, Sampson and Valdez University",PhD,Social Sciences,3,5327,Yes,Yes,3,1,Dissatisfied
392,Felicia Castillo,31,Male,Australia,Lewis Group University,Bachelor,Physics,1,18382,No,No,2,3,Satisfied
393,Bill Johnson,30,Male,USA,Martin Ltd University,Bachelor,AI,2,3723,Yes,Yes,2,1,Very Dissatisfied
394,Ashley Chapman,21,Male,UK,"Smith, Davis and Patel University",Master,Data Science,5,46459,Yes,Yes,5,4,Very Dissatisfied
395,Julie Blevins,33,Male,Australia,"Casey, Foster and Stevens University",Master,Medicine,4,48982,Yes,Yes,3,1,Very Satisfied
396,Nancy Combs,22,Other,India,Kelley Ltd University,Master,Law,5,30041,Yes,No,1,4,Very Dissatisfied
397,Katrina Robbins,26,Other,Malaysia,Riley-Salazar University,Master,Social Sciences,3,6798,No,No,4,3,Satisfied
398,Stephen Sampson,33,Female,Netherlands,Marks-Garcia University,Bachelor,Computer Science,1,32736,Yes,No,3,4,Satisfied
399,Alejandra Frey,23,Female,China,Cole-Thomas University,Bachelor,Business,2,41855,No,No,5,3,Dissatisfied
400,Cheryl Johnson,20,Female,Malaysia,Richardson and Sons University,PhD,Law,3,15817,No,No,2,2,Dissatisfied
401,Scott Herrera,29,Female,China,"Smith, Shaw and Reese University",PhD,Law,3,2481,Yes,No,5,4,Satisfied
402,Lucas Rich,32,Female,USA,"Hopkins, Hoffman and Vaughn University",Master,Law,3,46912,No,No,2,1,Satisfied
403,Dr. Jonathan Rich,27,Female,Germany,Simmons-Cook University,Bachelor,Social Sciences,3,10232,Yes,No,1,3,Very Dissatisfied
404,Gloria Ramos,21,Other,Netherlands,"Buchanan, Callahan and Mathews University",Bachelor,Engineering,1,9504,Yes,No,3,2,Neutral
405,Jose Reese,31,Female,India,Williams LLC University,Master,Arts,2,31692,No,No,2,1,Very Dissatisfied
406,Carla Elliott,23,Female,Turkey,"Garcia, Hoffman and Dean University",Bachelor,Data Science,1,17506,No,No,2,1,Very Dissatisfied
407,Douglas Estrada,21,Male,USA,Ferrell Group University,Master,Data Science,2,26377,Yes,Yes,2,1,Dissatisfied
408,Michael Williams,33,Female,India,"Mccarthy, Santos and Watson University",PhD,Computer Science,5,41457,Yes,No,2,2,Satisfied
409,Brooke Love,34,Other,USA,Owen-Thornton University,PhD,Social Sciences,2,14838,No,Yes,5,4,Neutral
410,Matthew Lewis,17,Male,France,Jenkins-Baldwin University,Master,Engineering,4,45908,Yes,No,4,2,Very Satisfied
411,Erica Ibarra,34,Other,India,Madden-Wood University,PhD,Social Sciences,1,16305,Yes,No,3,3,Dissatisfied
412,Nicholas Wang,23,Male,Pakistan,"Cole, Johnson and Shepherd University",Bachelor,Law,3,12893,No,No,3,1,Neutral
413,Danielle Owens,27,Male,France,"Oconnor, Fisher and Lopez University",Bachelor,Data Science,3,17748,No,Yes,1,2,Very Satisfied
414,Xavier Harper,24,Male,Pakistan,Bailey and Sons University,PhD,AI,3,9836,Yes,No,3,2,Satisfied
415,Daniel Riley,26,Female,UK,Howard LLC University,PhD,Data Science,2,3592,No,Yes,2,2,Very Dissatisfied
416,Eric Hines,23,Male,Turkey,Gibson Ltd University,PhD,Social Sciences,1,15045,Yes,No,1,4,Very Satisfied
417,Ashley Edwards,17,Female,France,Adams-White University,Master,Law,4,38366,Yes,Yes,4,3,Neutral
418,Michael Banks,26,Female,India,Johnson-Shields University,Master,Social Sciences,1,13194,Yes,Yes,1,1,Dissatisfied
419,Miguel Massey,33,Other,UK,Martinez-Levy University,Bachelor,AI,2,44791,No,Yes,4,1,Very Satisfied
420,Michael Guzman,30,Female,Malaysia,Joyce Inc University,Bachelor,Business,2,26329,Yes,Yes,4,5,Satisfied
421,Anthony Andrews,32,Female,Australia,Rivera and Sons University,Master,Arts,2,11037,No,Yes,3,1,Satisfied
422,Blake Francis,19,Other,Netherlands,Young-Williams University,Bachelor,Computer Science,3,12102,Yes,No,2,5,Neutral
423,Shari Santana,31,Female,Pakistan,Lowery LLC University,PhD,Physics,5,45105,No,Yes,5,2,Very Dissatisfied
424,Adam Crane,26,Other,USA,"Stewart, Miller and Williams University",Bachelor,Data Science,4,12592,No,Yes,2,5,Very Dissatisfied
425,Carrie Brown,29,Other,Japan,Edwards-Nelson University,Master,Computer Science,1,5258,Yes,Yes,3,3,Neutral
426,James Adams,32,Male,China,Hurst PLC University,PhD,Data Science,4,49216,No,Yes,5,4,Neutral
427,Anthony Ferguson,32,Other,Canada,Griffith Group University,Bachelor,Medicine,4,5554,No,Yes,4,4,Neutral
428,Kevin Ballard,30,Male,USA,Dunn and Sons University,Bachelor,Data Science,1,47283,Yes,No,3,1,Very Satisfied
429,Christopher Johnson,19,Male,Turkey,Thomas and Sons University,PhD,Physics,2,7046,Yes,No,2,1,Very Satisfied
430,Luis Harper,22,Female,Canada,"George, Walton and Wolfe University",Master,Arts,1,14554,Yes,Yes,1,2,Neutral
431,David Suarez,28,Other,Australia,Adkins LLC University,PhD,Medicine,5,15981,Yes,Yes,4,3,Satisfied
432,Eric Williams,32,Male,Malaysia,Stevens-Mason University,PhD,AI,3,13085,Yes,Yes,2,1,Satisfied
433,Melanie Maddox,26,Other,Netherlands,"Johnston, Sanders and Greene University",PhD,Engineering,5,46143,Yes,No,2,5,Neutral
434,Robyn Pierce,27,Other,Netherlands,"Cook, Alexander and Robinson University",PhD,Social Sciences,3,26375,Yes,Yes,2,2,Very Satisfied
435,John Ferguson,23,Female,China,Washington-Vasquez University,Master,Social Sciences,1,48515,No,Yes,5,3,Neutral
436,Brenda Romero,29,Male,UAE,Davis-Mathis University,PhD,AI,3,12817,No,No,5,5,Satisfied
437,David Brooks,24,Other,Canada,"Black, Trujillo and Vega University",Master,Engineering,5,11596,No,No,3,1,Very Satisfied
438,Casey Hill,32,Female,Netherlands,"Stewart, Gonzales and Hutchinson University",Bachelor,Social Sciences,5,26479,Yes,No,1,2,Neutral
439,Anthony Bernard,26,Male,Malaysia,Wilson Inc University,Bachelor,Law,5,2974,Yes,Yes,1,1,Very Dissatisfied
440,Charles Lewis,31,Female,Australia,Glass PLC University,PhD,Arts,4,39517,No,No,3,1,Dissatisfied
441,Michael Wilson,26,Other,Canada,"Chen, Mclaughlin and Brown University",Bachelor,Social Sciences,5,22524,Yes,No,4,3,Neutral
442,Jennifer Knight,25,Other,India,"Erickson, Black and Taylor University",PhD,Data Science,2,10030,No,Yes,5,3,Very Dissatisfied
443,Sandra Pineda,30,Male,UK,Cisneros PLC University,Master,AI,4,3008,No,Yes,2,2,Satisfied
444,Alicia Leach,27,Female,Japan,"Johnson, Thompson and Porter University",Bachelor,Engineering,2,42918,No,Yes,1,2,Neutral
445,Casey Young,32,Female,Australia,Martin Group University,Bachelor,Law,2,30159,Yes,No,4,3,Neutral
446,Erika Freeman,25,Male,Germany,"Wilkinson, Jackson and Smith University",Master,Arts,1,7954,No,No,2,1,Neutral
